Timestamp,Voltage [uV]
2018/04/02 06:28:06 +0000,8324800
2018/04/02 06:32:05 +0000,8314800
2018/04/02 06:36:05 +0000,8304800
2018/04/02 06:40:05 +0000,8294800
2018/04/02 06:44:05 +0000,8284800
2018/04/02 06:48:05 +0000,8274800
2018/04/02 06:52:04 +0000,8266800
2018/04/02 06:56:05 +0000,8256800
2018/04/02 07:00:05 +0000,8246800
2018/04/02 07:04:05 +0000,8236800
2018/04/02 07:08:04 +0000,8236800
2018/04/02 07:12:05 +0000,8226800
2018/04/02 07:16:08 +0000,8216800
2018/04/02 07:20:05 +0000,8206800
2018/04/02 07:24:04 +0000,8196800
2018/04/02 07:28:05 +0000,8186800
2018/04/02 07:32:05 +0000,8178800
2018/04/02 07:36:05 +0000,8178800
2018/04/02 07:40:05 +0000,8168800
2018/04/02 07:44:04 +0000,8158800
2018/04/02 07:48:05 +0000,8148800
2018/04/02 07:52:05 +0000,8138800
2018/04/02 07:56:05 +0000,8128800
2018/04/02 08:00:05 +0000,8128800
2018/04/02 08:04:05 +0000,8118800
2018/04/02 08:08:05 +0000,8108800
2018/04/02 08:12:05 +0000,8100800
2018/04/02 08:16:05 +0000,8090800
2018/04/02 08:20:05 +0000,8080800
2018/04/02 08:24:05 +0000,8070800
2018/04/02 08:28:05 +0000,8070800
2018/04/02 08:32:05 +0000,8060800
2018/04/02 08:36:04 +0000,8050800
2018/04/02 08:40:05 +0000,8040800
2018/04/02 08:44:05 +0000,8030800
2018/04/02 08:48:05 +0000,8030800
2018/04/02 08:52:04 +0000,8020800
2018/04/02 08:56:05 +0000,8012800
2018/04/02 09:00:05 +0000,8002800
2018/04/02 09:04:05 +0000,7992800
2018/04/02 09:08:04 +0000,7992800
2018/04/02 09:12:05 +0000,7982800
2018/04/02 09:16:06 +0000,7972800
2018/04/02 09:20:05 +0000,7962800
2018/04/02 09:24:05 +0000,7952800
2018/04/02 09:28:05 +0000,7952800
2018/04/02 09:32:05 +0000,7942800
2018/04/02 09:36:05 +0000,7932800
2018/04/02 09:40:05 +0000,8118800
2018/04/02 09:44:05 +0000,8158800
2018/04/02 09:48:06 +0000,8196800
2018/04/02 09:52:05 +0000,8236800
2018/04/02 09:56:05 +0000,8284800
2018/04/02 10:00:05 +0000,8324800
2018/04/02 10:04:05 +0000,8362800
2018/04/02 10:08:05 +0000,8362800
2018/04/02 10:12:05 +0000,8362800
2018/04/02 10:16:06 +0000,8362800
2018/04/02 10:20:05 +0000,8362800
2018/04/02 10:24:05 +0000,8362800
2018/04/02 10:28:05 +0000,8362800
2018/04/02 10:32:06 +0000,8362800
2018/04/02 10:36:04 +0000,8362800
2018/04/02 10:40:05 +0000,8362800
2018/04/02 10:44:05 +0000,8362800
2018/04/02 10:48:05 +0000,8362800
2018/04/02 10:52:05 +0000,8362800
2018/04/02 10:56:05 +0000,8362800
2018/04/02 11:00:04 +0000,8362800
2018/04/02 11:04:05 +0000,8362800
2018/04/02 11:08:05 +0000,8362800
2018/04/02 11:12:05 +0000,8362800
2018/04/02 11:16:06 +0000,8362800
2018/04/02 11:20:05 +0000,8362800
2018/04/02 11:24:05 +0000,8362800
2018/04/02 11:28:05 +0000,8362800
2018/04/02 11:32:06 +0000,8362800
2018/04/02 11:36:05 +0000,8362800
2018/04/02 11:40:05 +0000,8362800
2018/04/02 11:44:05 +0000,8362800
2018/04/02 11:48:06 +0000,8362800
2018/04/02 11:52:05 +0000,8362800
2018/04/02 11:56:05 +0000,8362800
2018/04/02 12:00:05 +0000,8362800
2018/04/02 12:04:04 +0000,8363133
2018/04/02 12:08:05 +0000,8362800
2018/04/02 12:12:05 +0000,8362800
2018/04/02 12:16:05 +0000,8362800
2018/04/02 12:20:05 +0000,8362800
2018/04/02 12:24:05 +0000,8362800
2018/04/02 12:28:05 +0000,8363133
2018/04/02 12:32:05 +0000,8362800
2018/04/02 12:36:02 +0000,8362800
2018/04/02 12:40:03 +0000,8362800
2018/04/02 12:44:02 +0000,8355133
2018/04/02 12:48:02 +0000,8362800
2018/04/02 12:52:02 +0000,8362800
2018/04/02 12:56:02 +0000,8362800
2018/04/02 13:00:05 +0000,8362800
2018/04/02 13:04:02 +0000,8363133
2018/04/02 13:08:02 +0000,8362800
2018/04/02 13:12:01 +0000,8362800
2018/04/02 13:16:02 +0000,8362800
2018/04/02 13:20:01 +0000,8362800
2018/04/02 13:24:02 +0000,8362800
2018/04/02 13:28:02 +0000,8362800
2018/04/02 18:00:01 +0000,6713133
2018/04/02 18:04:01 +0000,6663133
2018/04/02 18:08:02 +0000,6615133
2018/04/02 18:12:02 +0000,6565133
2018/04/02 18:16:02 +0000,6761133
2018/04/02 18:20:02 +0000,6947133
2018/04/02 18:24:02 +0000,7005133
2018/04/02 18:28:01 +0000,7025133
2018/04/02 18:32:01 +0000,7035133
2018/04/02 18:36:01 +0000,7055133
2018/04/02 18:40:02 +0000,7063133
2018/04/02 18:44:02 +0000,7083133
2018/04/02 18:48:02 +0000,7113133
2018/04/02 18:52:02 +0000,7143133
2018/04/02 18:56:01 +0000,7171133
2018/04/02 19:00:01 +0000,7191133
2018/04/02 19:04:01 +0000,7221133
2018/04/02 19:08:02 +0000,7249133
2018/04/02 19:12:02 +0000,7269133
2018/04/02 19:16:02 +0000,7279133
2018/04/02 19:20:02 +0000,7289133
2018/04/02 19:24:02 +0000,7299133
2018/04/02 19:28:01 +0000,7309133
2018/04/02 19:32:01 +0000,7319133
2018/04/02 19:36:01 +0000,7327133
2018/04/02 19:40:02 +0000,7337133
2018/04/02 19:44:02 +0000,7347133
2018/04/02 19:48:02 +0000,7347466
2018/04/02 19:52:02 +0000,7367133
2018/04/02 19:56:01 +0000,7377133
2018/04/02 20:00:01 +0000,7387133
2018/04/02 20:04:01 +0000,7397133
2018/04/02 20:08:02 +0000,7407133
2018/04/02 20:12:02 +0000,7415133
2018/04/02 20:16:08 +0000,7435133
2018/04/02 20:20:03 +0000,7445133
2018/04/02 20:24:03 +0000,7465133
2018/04/02 20:28:03 +0000,7485133
2018/04/02 20:32:03 +0000,7503133
2018/04/02 20:36:03 +0000,7523133
2018/04/02 20:40:02 +0000,7543133
2018/04/02 20:44:02 +0000,7573133
2018/04/02 20:48:02 +0000,7591466
2018/04/02 20:52:03 +0000,7621466
2018/04/02 20:56:05 +0000,7651133
2018/04/02 21:00:03 +0000,7678800
2018/04/02 21:04:02 +0000,7699466
2018/04/02 21:08:03 +0000,7739133
2018/04/02 21:12:05 +0000,7766800
2018/04/02 21:16:02 +0000,7796800
2018/04/02 21:20:02 +0000,7826800
2018/04/02 21:24:02 +0000,7854800
2018/04/02 21:28:03 +0000,7894800
2018/04/02 21:32:03 +0000,7915133
2018/04/02 21:36:03 +0000,7952800
2018/04/02 21:40:03 +0000,7992800
2018/04/02 21:44:03 +0000,8020800
2018/04/02 21:48:03 +0000,8060800
2018/04/02 21:52:02 +0000,8100800
2018/04/02 21:56:02 +0000,8128800
2018/04/02 22:00:02 +0000,8168800
2018/04/02 22:04:02 +0000,8206800
2018/04/02 22:08:03 +0000,8246800
2018/04/02 22:12:03 +0000,8284800
2018/04/02 22:16:03 +0000,8324800
2018/04/02 22:20:05 +0000,8362800
2018/04/02 22:24:03 +0000,8372800
2018/04/02 22:28:02 +0000,8382800
2018/04/02 22:32:02 +0000,8382800
2018/04/02 22:36:02 +0000,8382800
2018/04/02 22:40:03 +0000,8382800
2018/04/02 22:44:03 +0000,8382800
2018/04/02 22:48:03 +0000,8382800
2018/04/02 22:52:03 +0000,8382800
2018/04/02 22:56:03 +0000,8382800
2018/04/02 23:00:03 +0000,8382800
2018/04/02 23:04:03 +0000,8382800
2018/04/02 23:08:03 +0000,8382800
2018/04/02 23:12:02 +0000,8392800
